date,page,description
2025-10-03,observing.reports.htm,New Observing reports from September 2025 new moon!
2025-09-29,,"<a href='/assets/Portland_XVIII.pdf'>Portland XVIII Alt/Az Workshop 2025 Flyer</a>"
2025-04-30,,"<a href='/OR__Seven_nights_in_west_Texas.html'>Observing Report: Seven Nights in West Texas</a><br />by Akarsh Simha"
2025-04-26,,"<a href='/OR_Swartzinski_20250426.html'>Deep Sky Observing Report: April 26, 2025</a><br />by Alex Swartzinski (new contributor!)"
2024-12-19,peculiar18.htm,"Interesting Peculiar Galaxies for 16–22 inch telescopes"
2024-12-18,,"More restored observing reports: <a href='/OR___One_of_the_most_curious_objects_in_the_sky__and_much_more.html'>2010/09/16</a>, <a href='/OR__Praying_to_the_weather_gods_worked__Lake_Sonoma_on_1_26_11_.html'>2011/01/26</a>, <a href='/OR__Observing_last_night_at_Lake_Sonoma__Tues_2_5_13_.html'>2013/02/05</a> by Steve Gottlieb"
2024-12-12,SNR_Challenge.html,The Supernova Remnant Challenge
2024-12-11,,"Redone and restored observing reports: <a href='/OR__Observing_Triplets_from_Willow_Springs_on_3_9_13.html'>2013/03/09</a>, <a href='/OR__A_night_with_some_UC_Berkeley_luminaries_9_11_10.html'>2010/09/11</a>, <a href='OR__Triple_the_fun_20130511.html'>2013/05/11</a> by Steve Gottlieb"
2024-12-11,GSSP_2007.html,"Improved <a href='GSSP_2007.html'>Off the Deep End</a> with Steve Gottlieb."
2024-12-10,,"New observing reports by Akarsh Simha <a href='observing.reports.htm'>here</a>"
2024-11-21,,"Restored: <a href='GSSP_Challenge_List.html'>GSSP Challenge List</a>, <a href='GSSP_General_Obs_List.html'>GSSP General List</a>"
2024-11-21,catalogs.html,"Updates to Catalogs, Lists and Links!"
2024-09-13,,"<a href='Draculas_Chivito.html'>Dracula's Chivito – A New Planetary Nursery</a>"
2024-08-19,,"RASC Deep Sky Challenge <a href='/RASC-Part1.html'>Part 1</a>, <a href='/RASC-Part2.html'>Part 2</a>, <a href='/RASC-Part3.html'>Part 3</a>"
2024-08-08,Steve_Gottlieb_Publications.docx,Index of Publications by Steve Gottlieb
2024-08-08,GMT%20discoveries.html,Giant Melbourne Telescope
2024-08-07,,"Steve Gottlieb's old ORs restored <a href='/OR-%20Observing%20Barnard%27s%20Galaxy%20from%20Lassen%208_12_10.html'>8/12/2010</a>, <a href='OR-%20Fall%20CalStar%202012.html'>9/2012</a>"
2024-08-05,sivannebula.html,Sivan Nebula
2024-07-28,Spica_Nebula.html,Spica Nebula
2024-07-24,beyond_barnards.html,Beyond Barnard's Loop
2024-03-27,,"<a href='https://douglas.asimha.net/'>Astronomical Curiosities</a> book recommendation"
2023-08-18,2023.McArthur.htm,Aug 10/11/12 at McArthur
2023-07-17,Pickering.Planetaries.htm,Pickering's Pint-sized Planetaries
2022-08-27,First%20Light%20At%20Tranquility%20Base.htm,"First Light At &quot;Tranquility Base&quot;"
